drug_name,HER2,Luminal,TNBC
exatecan-mesylate,0.7908190379922206,0.6515795722603798,0.853201720242699
emodin,0.7896051722077223,0.6503806382417678,0.8515557609498501
torin 2,0.7881165782992656,0.6489347897469997,0.8495235405862331
cc-223,0.7876810116263536,0.6485168099403381,0.8489260574181875
lmk-235,0.7872071856489549,0.6480647265911103,0.8482747226953506
tipiracil,0.7859775246335909,0.6469040483236312,0.8465776219964027
briciclib,0.7851176324945229,0.6461031563580036,0.8453852012753487
bay-11-7085,0.7845498512570674,0.6455791875720024,0.8445953965807954
ganaxolone,0.7841440720053819,0.6452070727944375,0.8440297553315759
torin-2,0.7836599837128932,0.6447656609117984,0.843353615142405
ly3023414,0.7834189052765186,0.6445468731224537,0.8430163788919648
idarubicin,0.7830037119296881,0.6441716782748699,0.8424348284800848
snx-5422,0.7824097166840847,0.6436384744942188,0.8416011470059553
torin-1,0.7820633982236569,0.6433294899761677,0.841114116832614
trimetrexate,0.7816458808688017,0.6429588541388511,0.8405261433993777
rta-408,0.7809849587770609,0.6423762962222099,0.839593373859922
levobunolol,0.7802538504967322,0.6417377956211567,0.8385589088623723
cr8-(r),0.7797542804708848,0.6413050338625907,0.8378504452606043
su3327,0.7795151002131976,0.6410988710820675,0.8375108204782009
ym-155,0.7784616482945589,0.640198639780283,0.8360115432490905
cevipabulin,0.7761395447529279,0.6382587425410747,0.8326883725821972
sb-268262,0.7753620015887114,0.637622694298625,0.8315704135845104
p276-00,0.7750208240288955,0.6373457320034503,0.8310790645579497
chlorpropamide,0.77445405205855,0.6368884302675724,0.8302617995068431
pentamidine,0.7739813344982954,0.636509757488966,0.8295792375380794
pki-179,0.7739270767913415,0.6364664509892464,0.8295008478065332
tc-a-2317,0.7737834318899192,0.6363519761711359,0.8292932681118449
lofexidine,0.7736967999774677,0.6362829886376857,0.8291679903243979
nocodazole,0.7732383766426489,0.635919501259923,0.8285048082470894
fluspirilene,0.7732193831067818,0.6359045092016459,0.8284773329893748
ubp-296,0.7729919002606318,0.6357250437140465,0.8281479369228085
biib021,0.7728312772053939,0.6355986215174199,0.8279152571534117
bgt226,0.7727321864893804,0.6355208180844784,0.8277716677015027
ly2857785,0.7725326183896798,0.6353643760085106,0.827482381525139
cb-5083,0.7725155021135623,0.6353509750217199,0.8274575400476655
pf-05212384,0.772068126556965,0.6350019443780184,0.8268085513263941
sib-1757,0.7711437181211435,0.634287503734231,0.8254654596870145
ryuvidine,0.77081304616653,0.634034139290452,0.8249843750769893
ec-144,0.7705510883377149,0.6338342510163784,0.8246030466010174
am-92016,0.7702032101268952,0.6335699044167995,0.8240963319937388
lafutidine,0.7702009279567462,0.6335681840777397,0.8240930034468571
deslanoside,0.7699439239043456,0.6333737142384053,0.8237184400980672
cftrinh-172,0.7694672661331984,0.6330148920416832,0.8230233133460084
pa-824,0.7688730955123901,0.6325708728283643,0.8221559400359789
gw-441756,0.7684546184654419,0.6322603471577167,0.8215445323536793
pd-123319,0.767458998813079,0.6315287452191114,0.82008834152172
dequalinium,0.7666422836482525,0.6309361614286899,0.8188923439010978
pf-04691502,0.7665481945643058,0.6308682937175035,0.8187544364482164
clofibrate,0.7660742743084064,0.6305279433727264,0.8180597747365633
cisatracurium,0.7660346956780324,0.630499605461955,0.8180017120515307
wp1066,0.7657725108930697,0.6303123611956835,0.8176172357052565
