drug_name,gene
(5z)-7-oxozeaenol,TAK1
(r)-(-)-apomorphine,ADRA2A
(r)-(-)-apomorphine,ADRA2B
(r)-(-)-apomorphine,ADRA2C
(r)-(-)-apomorphine,CALY
(r)-(-)-apomorphine,DRD1
(r)-(-)-apomorphine,DRD2
(r)-(-)-apomorphine,DRD3
(r)-(-)-apomorphine,DRD4
(r)-(-)-apomorphine,DRD5
(r)-(-)-apomorphine,HTR1A
(r)-(-)-apomorphine,HTR1B
(r)-(-)-apomorphine,HTR1D
(r)-(-)-apomorphine,HTR2A
(r)-(-)-apomorphine,HTR2B
(r)-(-)-apomorphine,HTR2C
(r)-(-)-apomorphine,HTR5A
(r)-(-)-rolipram,PDE4A
(r)-(-)-rolipram,PDE4B
(r)-(-)-rolipram,PDE4C
(r)-(-)-rolipram,PDE4D
(r)-(-)-rolipram,PDE5A
(r)-baclofen,GABBR1
(r)-baclofen,GABBR2
(s)-(+)-rolipram,PDE4B
(s)-(+)-rolipram,PDE4D
"1,4-butanediol",MAN1B1
"1,4-butanediol",PLA2G2A
"1,4-butanediol",PLA2G2E
1-azakenpaullone,CCNB1
1-azakenpaullone,CDK1
1-azakenpaullone,CDK5
1-azakenpaullone,GSK3B
1-deoxymannojirimycin,MAN2A1
1-ebio,KCNN1
1-ebio,KCNN2
1-ebio,KCNN3
1-ebio,KCNN4
1-naphthyl-pp1,SRC
1-octanol,GJA1
1-octanol,GJA10
1-octanol,GJA3
1-octanol,GJA4
1-octanol,GJA5
1-octanol,GJA8
1-octanol,GJA9
1-octanol,GJB1
1-octanol,GJB2
1-octanol,GJB3
1-octanol,GJB4
1-octanol,GJB5
1-octanol,GJB6
1-octanol,GJB7
1-octanol,GJC1
1-octanol,GJC2
1-octanol,GJC3
1-octanol,GJD2
1-octanol,GJD3
1-octanol,GJD4
1-octanol,GJE1
1-phenylbiguanide,HTR3A
1-phenylbiguanide,HTR3B
10-debc,PIM1
10-hydroxycamptothecin,TOP1
12-o-tetradecanoylphorbol-13-acetate,KCNT2
12-o-tetradecanoylphorbol-13-acetate,TRPV4
1400w,NOS1
1400w,NOS2
1400w,NOS3
"16,16-dimethylprostaglandin-e2",HPGD
17-alpha-methyltestosterone,AR
17-hydroxyprogesterone-caproate,AR
17-hydroxyprogesterone-caproate,ESR1
17-hydroxyprogesterone-caproate,ESR2
17-hydroxyprogesterone-caproate,NR1H4
17-hydroxyprogesterone-caproate,NR1I2
17-hydroxyprogesterone-caproate,NR3C1
17-hydroxyprogesterone-caproate,PGR
"1s,2r-phenylpropanolamine",ADRA1A
"1s,2r-phenylpropanolamine",ADRA2A
"1s,2r-phenylpropanolamine",ADRB1
"1s,2r-phenylpropanolamine",ADRB2
"1s,2r-phenylpropanolamine",DRD1
2'-meccpa,ADORA1
"2,3-dcpe",BCL2L1
"2,4-dinitrophenol",APP
2-(3-mercaptopropyl)pentanedioic acid,FOLH1
2-(3-mercaptopropyl)pentanedioic-acid,FOLH1
2-[1-(4-piperonyl)piperazinyl]benzothiazole,HTR4
2-aminobenzenesulfonamide,CA12
2-aminobenzenesulfonamide,CA14
2-aminobenzenesulfonamide,CA2
2-aminobenzenesulfonamide,CA6
2-aminobenzenesulfonamide,CA9
2-bfi,ADRA2A
2-bfi,ADRA2B
2-bfi,ADRA2C
2-bfi,MAOA
2-bfi,MAOB
