drug_name,target_class
(5z)-7-oxozeaenol,Unknown
(r)-(-)-apomorphine,Signal Transduction
(r)-(-)-rolipram,Signal Transduction
(r)-baclofen,Neurotransmitter receptors and postsynaptic signal transmission
(s)-(+)-rolipram,Opioid Signalling
"1,4-butanediol",Metabolism
1-azakenpaullone,Generic Transcription Pathway
1-deoxymannojirimycin,Disease
1-ebio,Neuronal System
1-naphthyl-pp1,Hemostasis
1-octanol,Gap junction trafficking and regulation
1-phenylbiguanide,Neurotransmitter receptors and postsynaptic signal transmission
10-debc,Antimicrobial mechanism of IFN-stimulated genes
10-hydroxycamptothecin,SUMOylation
12-o-tetradecanoylphorbol-13-acetate,Stimuli-sensing channels
1400w,Hemostasis
"16,16-dimethylprostaglandin-e2",Metabolism
17-alpha-methyltestosterone,Signal Transduction
17-hydroxyprogesterone-caproate,Generic Transcription Pathway
"1s,2r-phenylpropanolamine",Signal Transduction
2'-meccpa,Signal Transduction
"2,3-dcpe",Apoptosis
"2,4-dinitrophenol",Hemostasis
2-(3-mercaptopropyl)pentanedioic acid,Metabolism
2-(3-mercaptopropyl)pentanedioic-acid,Metabolism
2-[1-(4-piperonyl)piperazinyl]benzothiazole,Signal Transduction
2-aminobenzenesulfonamide,Metabolism
2-bfi,Metabolism
2-chloro-n6-cyclopentyladenosine,Signal Transduction
2-chloroadenosine,Signal Transduction
2-cmdo,Signal Transduction
2-deoxyglucose,Cellular hexose transport
2-fluoro-2-deoxy-d-galactose,Disease
2-hydroxyflutamide,Signal Transduction
2-hydroxysaclofen,Neurotransmitter receptors and postsynaptic signal transmission
2-iminobiotin,Hemostasis
2-iodomelatonin,Signal Transduction
2-methoxyestradiol,Metabolism
2-methyl-5-hydroxytryptamine,Signal Transduction
2-oleoylglycerol,Peptide hormone metabolism
2-oxoglutaric-acid,Signal Transduction
2-phenylmelatonin,Signal Transduction
2-pmdq,Signal Transduction
2-pyridylethylamine,Signal Transduction
2-tedc,Metabolism
3'-fluorobenzylspiperone,Signal Transduction
"3,3'-dichlorobenzaldazine",Neuronal System
"3,3'-diindolylmethane",Immune System
"3,4-methylenedioxy-beta-nitrostyrene",Hemostasis
"3,5-dhpg-(s)",Neuronal System
3-alpha-bis-(4-fluorophenyl)-methoxytropane,Transport of small molecules
