symbol,reactome_id,pathway_name
ADA,R-HSA-1430728,Metabolism
ADA,R-HSA-15869,Metabolism of nucleotides
ADA,R-HSA-1643685,Disease
ADA,R-HSA-5668914,Diseases of metabolism
ADA,R-HSA-74217,Purine salvage
ADA,R-HSA-8956321,Nucleotide salvage
ADA,R-HSA-9734207,Nucleotide salvage defects
ADA,R-HSA-9734735,Defective ADA disrupts (deoxy)adenosine deamination
ADA,R-HSA-9735804,Diseases of nucleotide metabolism
ADA,R-HSA-9748784,Drug ADME
ADA,R-HSA-9755088,Ribavirin ADME
CDH2,R-HSA-1266738,Developmental Biology
CDH2,R-HSA-1500931,Cell-Cell communication
CDH2,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
CDH2,R-HSA-392499,Metabolism of proteins
CDH2,R-HSA-418990,Adherens junctions interactions
CDH2,R-HSA-421270,Cell-cell junction organization
CDH2,R-HSA-446728,Cell junction organization
CDH2,R-HSA-525793,Myogenesis
CDH2,R-HSA-597592,Post-translational protein modification
CDH2,R-HSA-8957275,Post-translational protein phosphorylation
CDH2,R-HSA-9730414,MITF-M-regulated melanocyte development
CDH2,R-HSA-9856651,MITF-M-dependent gene expression
CDH2,R-HSA-9926550,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition"
AKT3,R-HSA-109581,Apoptosis
AKT3,R-HSA-109606,Intrinsic Pathway for Apoptosis
AKT3,R-HSA-111447,Activation of BAD and translocation to mitochondria 
AKT3,R-HSA-114452,Activation of BH3-only proteins
AKT3,R-HSA-1227986,Signaling by ERBB2
AKT3,R-HSA-1257604,PIP3 activates AKT signaling
AKT3,R-HSA-1266738,Developmental Biology
AKT3,R-HSA-1280215,Cytokine Signaling in Immune system
AKT3,R-HSA-1280218,Adaptive Immune System
AKT3,R-HSA-1358803,Downregulation of ERBB2:ERBB3 signaling
AKT3,R-HSA-162582,Signal Transduction
AKT3,R-HSA-1640170,Cell Cycle
AKT3,R-HSA-1643685,Disease
AKT3,R-HSA-168256,Immune System
AKT3,R-HSA-186712,Regulation of beta-cell development
AKT3,R-HSA-194138,Signaling by VEGF
AKT3,R-HSA-198323,AKT phosphorylates targets in the cytosol
AKT3,R-HSA-198693,AKT phosphorylates targets in the nucleus
AKT3,R-HSA-199418,Negative regulation of the PI3K/AKT network
AKT3,R-HSA-199991,Membrane Trafficking
AKT3,R-HSA-210745,Regulation of gene expression in beta cells
AKT3,R-HSA-211163,AKT-mediated inactivation of FOXO1A
AKT3,R-HSA-212436,Generic Transcription Pathway
AKT3,R-HSA-2219528,PI3K/AKT Signaling in Cancer
AKT3,R-HSA-2262752,Cellular responses to stress
AKT3,R-HSA-3700989,Transcriptional Regulation by TP53
AKT3,R-HSA-372790,Signaling by GPCR
AKT3,R-HSA-388396,GPCR downstream signalling
AKT3,R-HSA-388841,Regulation of T cell activation by CD28 family
AKT3,R-HSA-389356,Co-stimulation by CD28
AKT3,R-HSA-389357,CD28 dependent PI3K/Akt signaling
AKT3,R-HSA-389513,Co-inhibition by CTLA4
AKT3,R-HSA-392451,G beta:gamma signalling through PI3Kgamma
AKT3,R-HSA-397795,G-protein beta:gamma signalling
AKT3,R-HSA-4420097,VEGFA-VEGFR2 Pathway
AKT3,R-HSA-453279,Mitotic G1 phase and G1/S transition
AKT3,R-HSA-5218920,VEGFR2 mediated vascular permeability
AKT3,R-HSA-5357801,Programmed Cell Death
AKT3,R-HSA-5628897,TP53 Regulates Metabolic Genes
AKT3,R-HSA-5633007,Regulation of TP53 Activity
AKT3,R-HSA-5653656,Vesicle-mediated transport
AKT3,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers
AKT3,R-HSA-5663205,Infectious disease
AKT3,R-HSA-5674400,Constitutive Signaling by AKT1 E17K in Cancer
AKT3,R-HSA-6804757,Regulation of TP53 Degradation
AKT3,R-HSA-6804758,Regulation of TP53 Activity through Acetylation
AKT3,R-HSA-6804759,Regulation of TP53 Activity through Association with Co-factors
AKT3,R-HSA-6806003,Regulation of TP53 Expression and Degradation
AKT3,R-HSA-6807070,PTEN Regulation
AKT3,R-HSA-69202,Cyclin E associated events during G1/S transition 
AKT3,R-HSA-69206,G1/S Transition
AKT3,R-HSA-69242,S Phase
AKT3,R-HSA-69278,"Cell Cycle, Mitotic"
AKT3,R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry
AKT3,R-HSA-73857,RNA Polymerase II Transcription
AKT3,R-HSA-74160,Gene expression (Transcription)
AKT3,R-HSA-8863795,Downregulation of ERBB2 signaling
AKT3,R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs
AKT3,R-HSA-8878166,Transcriptional regulation by RUNX2
AKT3,R-HSA-8939211,ESR-mediated signaling
AKT3,R-HSA-8941332,RUNX2 regulates genes involved in cell migration
AKT3,R-HSA-8948751,Regulation of PTEN stability and activity
AKT3,R-HSA-8953897,Cellular responses to stimuli
AKT3,R-HSA-9006925,Intracellular signaling by second messengers
AKT3,R-HSA-9006931,Signaling by Nuclear Receptors
AKT3,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases
AKT3,R-HSA-9007101,Rab regulation of trafficking
AKT3,R-HSA-9009391,Extra-nuclear estrogen signaling
AKT3,R-HSA-9607240,FLT3 Signaling
AKT3,R-HSA-9614085,FOXO-mediated transcription
AKT3,R-HSA-9614399,Regulation of localization of FOXO transcription factors
AKT3,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
AKT3,R-HSA-9679506,SARS-CoV Infections
AKT3,R-HSA-9694516,SARS-CoV-2 Infection
AKT3,R-HSA-9705683,SARS-CoV-2-host interactions
AKT3,R-HSA-9711123,Cellular response to chemical stress
AKT3,R-HSA-9730414,MITF-M-regulated melanocyte development
AKT3,R-HSA-9755511,KEAP1-NFE2L2 pathway
AKT3,R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways
AKT3,R-HSA-9824446,Viral Infection Pathways
AKT3,R-HSA-9856649,Transcriptional and post-translational regulation of MITF-M expression and activity
HDAC6,R-HSA-157118,Signaling by NOTCH
HDAC6,R-HSA-162582,Signal Transduction
HDAC6,R-HSA-1632852,Macroautophagy
HDAC6,R-HSA-1643685,Disease
HDAC6,R-HSA-1852241,Organelle biogenesis and maintenance
HDAC6,R-HSA-1980143,Signaling by NOTCH1
HDAC6,R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription
HDAC6,R-HSA-212436,Generic Transcription Pathway
HDAC6,R-HSA-2262752,Cellular responses to stress
HDAC6,R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer
HDAC6,R-HSA-2644603,Signaling by NOTCH1 in Cancer
HDAC6,R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants
HDAC6,R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
HDAC6,R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
HDAC6,R-HSA-3371511,HSF1 activation
HDAC6,R-HSA-3371556,Cellular response to heat stress
HDAC6,R-HSA-350054,Notch-HLH transcription pathway
